Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
21.0,4.7,Windy,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,6.151236668980306,15.0
21.0,4.5,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,18,11.592135197249185,15.0
34.0,4.2,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,33,2.1829011011711947,10.0
27.0,4.7,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,22,12.00344191188381,10.0
34.0,4.2,Stormy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,32,4.3656279620963385,10.0
30.0,4.9,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29,5.55974580297909,15.0
31.0,4.7,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,28,3.2493834004937803,5.0
32.0,4.7,Cloudy,Medium,1,Meal,scooter,0.0,No,Urban,18,4.956967618867787,15.0
22.0,4.8,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,3.1489614963156773,15.0
30.0,4.7,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,11.402680380556724,15.0
37.0,4.5,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38,12.23143629545048,10.0
25.0,4.8,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,23,4.242412805823694,15.0
24.0,4.6,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Urban,10,8.895591963759975,15.0
22.0,4.6,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,24,14.084813052299175,5.0
32.0,4.6,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,18,14.186526952802422,10.0
27.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,24,6.939103524125144,5.0
27.0,4.7,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,2.1829011011711947,5.0
31.0,4.7,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,16,11.947663253591667,15.0
35.0,4.1,Windy,Jam,2,Drinks,scooter,0.0,No,Urban,33,9.48601303444373,5.0
29.0,5.0,Windy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,15,9.544153525838835,10.0
34.0,4.7,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,23,7.583717349240162,10.0
25.0,4.7,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,9.749829277314904,10.0
24.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15,1.095087595313201,10.0
24.0,4.9,Sandstorms,High,0,Meal,motorcycle,0.0,No,Urban,22,2.182844255789631,10.0
24.0,5.0,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,20,1.0837085473363144,10.0
20.0,4.9,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,23,10.007540311428052,5.0
23.0,4.5,Fog,High,2,Snack,scooter,1.0,No,Urban,22,4.292646113437237,5.0
25.0,4.9,Fog,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,37,11.91771363806576,15.0
21.0,4.6,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,10,1.1119492622115985,10.0
30.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,41,7.25710134573765,5.0
32.0,4.8,Windy,High,0,Snack,motorcycle,1.0,No,Metropolitian,30,2.167022364934394,5.0
35.0,4.7,Sandstorms,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,5.30372266902965,10.0
27.0,4.7,Sunny,High,1,Meal,motorcycle,0.0,No,Metropolitian,12,4.332939577996546,5.0
20.0,4.7,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,19,14.082339855849805,5.0
30.0,5.0,Fog,Low,2,Buffet,scooter,1.0,No,Urban,15,2.1660951533320327,5.0
39.0,4.9,Windy,Jam,0,Snack,motorcycle,2.0,No,Urban,43,7.930797458737604,10.0
32.0,3.7,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,37,11.277107245762906,5.0
37.0,4.5,Windy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,25,4.114206382249067,10.0
26.0,4.6,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,20,3.9656458716809686,15.0
33.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Urban,15,1.0206516099823926,5.0
28.0,4.8,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27,14.07965233134824,5.0
28.0,4.9,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,25,9.330097789692518,15.0
36.0,4.3,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Urban,31,2.9741368656984624,5.0
36.0,4.5,Windy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,31,7.42475432207838,15.0
24.0,4.8,Cloudy,Low,2,Drinks,motorcycle,0.0,No,Urban,15,1.0369929296575169,10.0
23.0,4.6,Fog,Low,2,Drinks,scooter,1.0,No,Urban,28,9.452515674958796,5.0
28.0,4.7,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Urban,17,3.061721165842284,15.0
35.0,4.0,Cloudy,Jam,2,Meal,motorcycle,1.0,Yes,Metropolitian,41,11.22491140416772,15.0
22.0,4.6,Windy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,34,9.855361296396708,10.0
39.0,4.6,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,28,3.0611601415088385,10.0
35.0,5.0,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,31,5.248932528340858,15.0
29.0,4.9,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,25,9.74824240825639,15.0
27.0,4.6,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,39,11.311546305564546,10.0
23.0,5.0,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,29,10.900578786418924,15.0
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,8.921840165332434,5.0
34.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,51,11.22425788043188,10.0
32.0,4.6,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,5.41657725421968,-1485.0
37.0,4.0,Windy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,43,4.182357400923691,5.0
33.0,4.9,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,2.050676304526052,10.0
29.0,4.8,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,15,8.172920098240837,15.0
38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,26,1.0609662091480352,10.0
38.0,3.4,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,34,11.27720165111424,-1490.0
33.0,4.1,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,39,8.689711479368622,10.0
38.0,3.5,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,34,9.747132476965644,15.0
35.0,4.7,Sunny,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,17,3.3358476850190417,10.0
21.0,4.7,Sandstorms,High,1,Snack,motorcycle,1.0,No,Metropolitian,18,4.082864784787139,15.0
34.0,5.0,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,19,9.447071666609398,5.0
34.0,4.1,Windy,Medium,2,Buffet,scooter,1.0,No,Urban,31,3.0618066090492406,10.0
33.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,27,2.1725565879986584,15.0
34.0,4.1,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,39,13.652518304264108,15.0
31.0,4.9,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,29,1.0835577052617116,10.0
23.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,21,2.182798372580282,15.0
33.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,28,3.250476217997207,5.0
30.0,4.3,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,1.083508483459294,5.0
28.0,4.8,Fog,Low,1,Buffet,scooter,1.0,No,Urban,16,3.182408212309061,15.0
22.0,4.9,Sandstorms,High,1,Meal,motorcycle,1.0,No,Metropolitian,24,2.0734372636711496,10.0
36.0,3.7,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Urban,31,7.3790395056497395,10.0
24.0,4.9,Windy,Jam,2,Drinks,motorcycle,1.0,No,Urban,24,13.473788231191484,15.0
34.0,4.6,Fog,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,50,11.039470766493949,10.0
23.0,4.8,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,10,5.55974580297909,10.0
22.0,4.0,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,19,2.057308822782329,10.0
35.0,4.6,Sunny,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,18,2.98555311939337,10.0
27.0,4.1,Cloudy,Jam,2,Drinks,scooter,0.0,Yes,Metropolitian,44,8.160466548206868,5.0
36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,1.0864674813846833,10.0
30.0,4.2,Windy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,34,4.0151918047609625,15.0
20.0,4.8,Stormy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,27,3.9653399994424383,10.0
30.0,5.0,Cloudy,Jam,1,Drinks,motorcycle,3.0,No,Metropolitian,48,9.545697459646972,5.0
20.0,4.6,Stormy,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,22,13.645277918869722,5.0
20.0,4.7,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,12.466967795185385,15.0
39.0,4.5,Fog,Low,2,Buffet,scooter,1.0,No,Urban,17,2.121651681377379,15.0
24.0,5.0,Cloudy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,12.23143629545048,5.0
30.0,4.6,Sandstorms,Low,2,Buffet,motorcycle,0.0,No,Urban,25,1.0914899616314044,15.0
35.0,4.8,Fog,Jam,0,Buffet,motorcycle,2.0,Yes,Metropolitian,48,10.877399598332335,15.0
39.0,5.0,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,34,11.545538220678411,10.0
29.0,4.7,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,24,9.330613547769412,5.0
25.0,4.2,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,51,3.182032223405704,15.0
28.0,4.7,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,23,12.23143629545048,5.0
20.0,4.8,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,14,1.0499144110863932,5.0
38.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,5.456673266800138,10.0
39.0,4.1,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,11.22491140416772,15.0
33.0,4.8,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,30,7.026287592667502,15.0
22.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Urban,26,3.110605371796221,15.0
31.0,4.7,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,11.913145045779617,5.0
25.0,4.6,Sunny,Jam,2,Meal,scooter,0.0,No,Metropolitian,16,3.251012128423927,10.0
26.0,4.6,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,36,12.8822068891968,10.0
35.0,4.7,Stormy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,44,6.500643823664742,10.0
24.0,4.5,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,17,4.3656279620963385,15.0
38.0,4.8,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,30,5.55974580297909,5.0
29.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,22,8.895591963759975,10.0
39.0,4.7,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,42,10.903395303352555,15.0
26.0,4.8,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,33,10.90165823989887,5.0
35.0,4.6,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,24,2.0734856780938267,15.0
38.0,4.6,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29,12.003802189402675,5.0
34.0,4.7,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34,6.569715705280047,10.0
29.0,4.2,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,17,5.4951138250374845,5.0
37.0,4.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Urban,31,9.255404632282527,10.0
36.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,10.49007698130592,10.0
35.0,3.5,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,34,8.66394765481607,5.0
36.0,4.8,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,18,3.080399180223813,10.0
21.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,23,1.0502181038504446,5.0
31.0,4.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,45,3.182226998010733,10.0
28.0,4.8,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,28,5.950876050753861,10.0
29.0,2.5,Sunny,Low,1,Snack,motorcycle,2.0,No,Metropolitian,35,11.910861396335992,15.0
34.0,4.9,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,26,3.251290114405561,10.0
26.0,4.7,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,29,3.249808757107247,15.0
25.0,4.2,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,5.125886368929787,5.0
21.0,4.7,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,18,11.919424924517878,5.0
29.0,3.3,Sunny,Low,2,Meal,electric_scooter,2.0,No,Metropolitian,36,14.0849472127759,15.0
